t_ms,phase_us,seq,spin_ns,gap_ewma_ns,wake_ewma_ns,burn_ewma_ns,blocked
0.000,200,0,5000,0,5000,0,0
0.221,200,1,5158,6434,5158,164,1
0.489,200,2,5319,14302,5245,324,1
0.744,200,3,5486,21523,5333,483,1
0.997,200,4,5657,28502,5397,644,1
1.241,200,5,5978,34446,5978,803,1
1.504,200,6,6165,41390,5962,967,1
1.762,200,7,6358,48027,5914,1131,1
2.021,200,8,6557,54458,5878,1296,1
2.281,200,9,6762,60712,5832,1461,1
2.543,200,10,6973,66746,5881,1629,1
2.801,200,11,7190,72481,5921,1798,1
3.061,200,12,7415,78067,5977,1972,1
3.320,200,13,7646,83456,6020,2145,1
3.579,200,14,7885,88670,6063,2319,1
3.837,200,15,8132,93713,6103,2496,1
4.097,200,16,8387,98612,6153,2676,1
4.356,200,17,8650,103362,6196,2857,1
4.614,200,18,8921,107947,6231,3041,1
4.873,200,19,9200,112389,6265,3229,1
5.132,200,20,9487,116702,6307,3417,1
5.393,200,21,9784,120950,6364,3608,1
5.661,200,22,10089,125057,6596,3807,1
5.921,200,23,10404,128878,6666,4006,1
6.184,200,24,10729,132783,6715,4209,1
6.449,200,25,11064,136615,6766,4416,1
6.713,200,26,11409,140296,6822,4629,1
6.977,200,27,11766,143841,6881,4845,1
7.221,200,28,12133,146638,6958,5068,1
7.476,200,29,12512,149728,6980,5296,1
7.731,200,30,12903,152728,7004,5523,1
7.984,200,31,13306,155618,7002,5757,1
8.224,200,32,13721,157774,7236,5997,1
8.471,200,33,14150,160374,7146,6241,1
8.730,200,34,14593,163288,7060,6489,1
8.988,200,35,15050,166111,6973,6744,1
9.218,200,36,15521,167947,6889,7005,1
9.477,200,37,16006,170632,6807,7273,1
9.739,200,38,16507,173225,6836,11052,1
9.997,200,39,17022,175622,6853,11227,1
10.223,200,40,17553,176941,6870,11413,1
10.483,200,41,18102,179225,6893,11609,1
10.739,200,42,18667,181445,6817,11813,1
10.997,200,43,19250,183701,6737,12029,1
11.262,200,44,19851,186099,6665,12257,1
11.522,200,45,20472,188235,6591,12496,1
11.782,200,46,21111,190303,6537,12746,1
12.049,200,47,21770,192392,6618,13010,1
12.308,200,48,22451,194190,6653,13286,1
12.567,200,49,23152,195944,6691,13575,1
12.826,200,50,23875,197625,6725,13879,1
13.087,200,51,24622,199254,6836,14197,1
13.343,200,52,25391,200715,6863,14527,1
13.602,200,53,26184,202272,6885,14871,1
13.861,200,54,27003,203757,6903,15228,1
14.120,200,55,27846,205208,6923,15598,1
14.378,200,56,28717,206614,6940,15984,1
14.637,200,57,29614,207975,6959,16385,1
14.896,200,58,30539,209291,6979,16802,1
15.155,200,59,31494,210558,6990,17235,1
15.414,200,60,32479,211794,7011,17685,1
15.669,200,61,33494,212984,6929,18150,1
15.928,200,62,34541,214247,6843,18631,1
16.186,200,63,35620,215478,6772,19129,1
16.445,200,64,36733,216668,6693,19646,1
16.704,200,65,37880,217838,6619,20181,1
16.962,200,66,39063,218950,6543,20735,1
17.217,200,67,40284,219935,6475,21309,1
17.476,200,68,41543,221000,6408,21905,1
17.736,200,69,42842,222038,6359,22520,1
17.998,200,70,44181,223014,6411,23157,1
18.223,200,71,45562,222784,6469,23818,1
18.481,200,72,46985,223609,6495,24501,1
18.740,200,73,48454,224440,6535,25206,1
18.998,200,74,49969,225231,6559,25936,1
19.238,200,75,51530,225488,6498,26691,1
19.496,200,76,53141,226361,6427,27469,1
19.754,200,77,54802,227221,6358,28273,1
20.013,200,78,52982,228046,6291,29103,1
20.271,200,79,51222,228842,6234,29851,1
20.530,200,80,49522,229610,6171,30520,1
20.788,200,81,47878,230373,6110,31115,1
21.047,200,82,46290,231101,6048,31641,1
21.305,200,83,44754,231805,5995,32101,1
21.579,200,84,43268,232936,5975,32497,1
21.841,200,85,41832,233680,5937,32836,1
22.105,200,86,40442,234456,5902,33119,1
22.369,200,87,39098,235209,5874,33349,1
22.633,200,88,37800,235918,5846,33532,1
22.891,200,89,36544,236460,5802,33667,1
23.149,200,90,35332,236985,5756,33759,1
23.404,200,91,34160,237393,5702,33810,1
23.658,200,92,33026,237780,5641,33823,1
23.917,200,93,31930,238188,5686,33801,1
24.170,200,94,30870,238417,5724,33746,1
24.425,200,95,29846,238664,5775,33659,1
24.678,200,96,28856,238871,5804,33542,1
24.932,200,97,27898,239091,5830,33400,1
25.189,200,98,26970,239413,5857,39333,1
25.450,200,99,26074,239789,5923,38951,1
25.708,200,100,25208,240088,5967,38553,1
25.966,200,101,24370,240388,6005,38139,1
26.221,200,102,23560,240566,6061,37711,1
26.476,200,103,22778,240863,6008,37271,1
26.735,200,104,22020,241274,5953,36820,1
26.994,200,105,21290,240526,5901,36359,1
27.217,200,106,20582,239848,5849,35889,1
27.477,200,107,19898,240289,5811,35413,1
27.740,200,108,19236,240709,5885,34930,1
28.001,200,109,18598,241075,5949,34443,1
28.231,200,110,17980,240202,6242,33952,1
28.483,200,111,17382,240283,6278,33455,1
28.737,200,112,16804,240477,6307,32957,1
28.991,200,113,16246,240638,6320,32454,1
29.219,200,114,15706,239941,6395,31952,1
29.472,200,115,15184,240066,6412,31447,1
29.726,200,116,14680,240242,6440,30942,1
29.985,200,117,14192,240521,6534,30438,1
30.221,200,118,14635,240056,6571,29933,1
30.480,200,119,15092,240367,6603,29457,1
30.738,200,120,15563,240657,6638,29013,1
30.996,200,121,16050,240938,6659,28596,1
31.217,200,122,16551,240144,6585,28206,1
31.476,200,123,17068,240565,6511,27843,1
31.735,200,124,17601,241002,6449,27507,1
31.994,200,125,18152,241399,6380,27199,1
32.223,200,126,18719,240715,6477,26918,1
32.501,200,127,19304,241569,6546,26665,1
32.760,200,128,19907,241831,6597,26438,1
33.018,200,129,20530,242070,6623,26237,1
33.278,200,130,21171,242339,6651,26063,1
33.536,200,131,21832,242569,6674,25914,1
33.795,200,132,22515,242801,6707,25790,1
34.053,200,133,23218,243012,6726,25691,1
34.312,200,134,23943,243249,6749,25616,1
34.570,200,135,24692,243450,6766,25567,1
34.828,200,136,25463,243650,6783,25544,1
35.087,200,137,26258,243850,6798,25544,1
35.346,200,138,27079,244061,6821,25570,1
35.604,200,139,27926,244239,6836,25620,1
35.863,200,140,27000,244419,6858,31803,1
36.121,200,141,26102,244584,6887,31660,1
