t_ms,phase_us,seq,spin_ns,gap_ewma_ns,wake_ewma_ns,burn_ewma_ns,blocked
0.000,2,0,5000,0,5000,0,0
0.062,2,1,5157,1656,4984,161,1
0.117,2,2,5318,3198,4905,320,1
0.172,2,3,5485,4709,4826,479,1
0.226,2,4,5656,6186,4744,638,1
0.281,2,5,5833,7624,4666,798,1
0.336,2,6,6016,9014,4591,959,1
0.391,2,7,6205,10361,4518,1120,1
0.446,2,8,6398,11664,4448,1282,1
0.501,2,9,6597,12927,4380,1444,1
0.556,2,10,6804,14147,4309,1608,1
0.611,2,11,7017,15331,4244,1774,1
0.666,2,12,7236,16482,4181,1941,1
0.721,2,13,7463,17593,4117,2110,1
0.776,2,14,7696,18675,4062,2279,1
0.833,2,15,7937,19716,4093,2451,1
0.889,2,16,7675,20725,4049,2624,1
0.944,2,17,7419,21692,3994,2784,1
0.999,2,18,7171,22643,3940,2932,1
1.053,2,19,6933,23560,3883,3068,1
1.108,2,20,6703,24444,3831,3193,1
1.163,2,21,6479,25305,3777,3305,1
1.218,2,22,6265,26142,3732,3406,1
1.273,2,23,6057,26952,3685,3498,1
1.328,2,24,5855,27738,3637,3581,1
1.383,2,25,5661,28497,3590,3655,1
1.438,2,26,5473,29235,3546,3724,1
1.493,2,27,5291,29945,3502,3780,1
1.547,2,28,5115,30635,3463,3830,1
1.602,2,29,5274,31303,3421,3873,1
1.657,2,30,5439,31954,3388,3919,1
1.712,2,31,5608,32578,3351,3969,1
1.767,2,32,5783,33185,3317,4023,1
1.822,2,33,5964,33772,3284,4081,1
1.836,2,34,5766,33067,3255,4142,1
1.891,2,35,5947,33665,3221,4195,1
1.946,2,36,6132,34248,3196,4252,1
2.001,2,37,6323,34799,3166,4314,1
2.056,2,38,6520,35338,3135,4379,1
2.111,2,39,6723,35861,3105,4447,1
2.166,2,40,6934,36366,3079,4521,1
2.221,2,41,7151,36858,3054,4599,1
2.276,2,42,6913,37331,3029,4681,1
2.330,2,43,6685,37789,3005,4753,1
2.385,2,44,6463,38231,2980,4815,1
2.440,2,45,6247,38664,2954,4869,1
2.495,2,46,6039,39082,2927,4914,1
2.550,2,47,5839,39491,2903,4952,1
2.605,2,48,6022,39882,2881,4982,1
2.660,2,49,6211,40261,2860,5018,1
2.715,2,50,6406,40631,2843,5059,1
2.769,2,51,6607,40987,2821,5103,1
2.824,2,52,6814,41333,2801,5152,1
2.832,2,53,6588,40255,2801,5204,0
2.888,2,54,6368,40674,2787,5248,1
2.943,2,55,6156,41027,2770,5286,1
2.998,2,56,5952,41379,2759,5316,1
3.053,2,57,5756,41707,2745,5337,1
3.108,2,58,5564,42027,2729,5352,1
3.163,2,59,5378,42339,2712,5360,1
3.226,2,60,5200,42713,2872,5366,1
3.278,2,61,5028,42828,2884,5364,1
3.332,2,62,5185,43072,2871,5355,1
3.387,2,63,5348,43344,2858,5352,1
3.442,2,64,5515,43615,2840,5354,1
3.497,2,65,5688,43886,2820,5361,1
3.552,2,66,5865,44144,2802,5374,1
3.607,2,67,6048,44395,2781,5392,1
3.662,2,68,6237,44640,2761,5415,1
3.717,2,69,6432,44871,2745,5444,1
3.772,2,70,6633,45097,2726,5477,1
3.827,2,71,6840,45311,2718,5516,1
3.834,2,72,6400,44077,2718,5526,0
3.890,2,73,6188,44379,2708,5556,1
3.945,2,74,6381,44619,2690,5577,1
4.001,2,75,6580,44864,2679,5605,1
4.055,2,76,6360,45086,2665,5639,1
4.110,2,77,6559,45305,2651,5663,1
4.165,2,78,6341,45520,2641,5695,1
4.220,2,79,6131,45725,2628,5718,1
4.275,2,80,6322,45924,2617,5734,1
4.330,2,81,6519,46122,2602,5754,1
4.385,2,82,6722,46309,2595,5780,1
4.440,2,83,6500,46485,2581,5812,1
4.495,2,84,6284,46659,2573,5837,1
4.550,2,85,6076,46822,2558,5853,1
4.605,2,86,6265,46985,2547,5863,1
4.660,2,87,6460,47144,2538,5878,1
4.715,2,88,6661,47296,2526,5898,1
4.769,2,89,6870,47449,2514,5924,1
4.824,2,90,6642,47595,2502,5955,1
