condition,transport,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
zcring_spin,zcring,1048576,216854,198300,326202,528843,874914,874914
zcring_spin,zcring,1048576,212578,198352,304640,447364,806119,806119
zcring_spin,zcring,1048576,213216,197905,356640,609207,820681,820681
zcring_spin,zcring,1048576,225792,203320,373087,602948,2542180,2542180
zcring_spin,zcring,1048576,220133,202726,319566,534469,820204,820204
zcring_sleep,zcring,1048576,230284,224712,302863,466156,653426,653426
zcring_sleep,zcring,1048576,230540,223014,277065,1190502,1480895,1480895
zcring_sleep,zcring,1048576,234202,222437,298227,1794316,2056829,2056829
zcring_sleep,zcring,1048576,286686,227211,1790242,2829850,3175629,3175629
zcring_sleep,zcring,1048576,227259,222884,270404,292435,397395,397395
unix_control,unix,1048576,215479,185002,540319,2065912,5064394,5064394
unix_control,unix,1048576,206801,178722,526926,2765318,3282573,3282573
unix_control,unix,1048576,211294,181893,558882,2828818,3055731,3055731
unix_control,unix,1048576,225089,184187,729715,2660607,3154341,3154341
unix_control,unix,1048576,223581,182115,1060267,4561042,7076461,7076461
