waiter,cstates,transport,rep,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
spin,enabled,zcring,1,1048576,223563,115213,1693755,1816817,1833720,1833720
notify,enabled,zcring,1,1048576,214058,123653,1450980,1549142,1568107,1568107
spin,enabled,unix,1,1048576,172527,155664,431501,527854,1783257,1783257
spin,enabled,zcring,2,1048576,263755,120229,2010955,2053901,2070427,2070427
notify,enabled,zcring,2,1048576,322172,119575,2966227,3081236,3085075,3085075
spin,enabled,unix,2,1048576,185286,162004,501676,1061785,2540570,2540570
spin,enabled,zcring,3,1048576,143570,119888,546963,635338,644254,644254
notify,enabled,zcring,3,1048576,290321,123383,2967151,3197020,3235336,3235336
spin,enabled,unix,3,1048576,175011,154526,496780,1776495,1828121,1828121
spin,disabled,zcring,1,1048576,218349,194313,490777,1746759,1867340,1867340
notify,disabled,zcring,1,1048576,223720,197325,1076005,1633120,1769179,1769179
spin,disabled,unix,1,1048576,190689,174212,440421,2460049,3734234,3734234
spin,disabled,zcring,2,1048576,206610,194298,299258,303898,305801,305801
notify,disabled,zcring,2,1048576,398192,197742,3018062,3219094,3262505,3262505
spin,disabled,unix,2,1048576,181561,172273,247025,1630940,2208860,2208860
spin,disabled,zcring,3,1048576,206758,193300,352301,363864,376638,376638
notify,disabled,zcring,3,1048576,273619,197295,2282748,2706190,2753958,2753958
spin,disabled,unix,3,1048576,184677,175558,265614,373737,2198060,2198060
