waiter,cstates,transport,rep,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
spin,enabled,zcring,1,1048576,118504,106225,283112,519986,519986,519986
notify,enabled,zcring,1,1048576,214765,197088,991188,1952503,1952503,1952503
spin,enabled,unix,1,1048576,287275,243351,1495056,4840418,4840418,4840418
spin,enabled,zcring,2,1048576,126685,106447,341122,598209,598209,598209
notify,enabled,zcring,2,1048576,229249,197385,1772751,2136638,2136638,2136638
spin,enabled,unix,2,1048576,301856,243880,1599798,3871645,3871645,3871645
spin,enabled,zcring,3,1048576,118925,105515,341973,574590,574590,574590
notify,enabled,zcring,3,1048576,213950,196817,449899,2433874,2433874,2433874
spin,enabled,unix,3,1048576,278680,244147,1447849,3066300,3066300,3066300
spin,disabled,zcring,1,1048576,190054,180859,320853,739942,739942,739942
notify,disabled,zcring,1,1048576,219251,183909,1360268,2609621,2609621,2609621
spin,disabled,unix,1,1048576,259880,157242,3330289,5265168,5265168,5265168
spin,disabled,zcring,2,1048576,188997,180174,337037,346894,346894,346894
notify,disabled,zcring,2,1048576,275685,184289,2570839,2626020,2626020,2626020
spin,disabled,unix,2,1048576,265309,153292,3434166,6301456,6301456,6301456
spin,disabled,zcring,3,1048576,195444,180331,344805,530150,530150,530150
notify,disabled,zcring,3,1048576,247861,184119,1917566,2873145,2873145,2873145
spin,disabled,unix,3,1048576,226542,152761,1868529,6044519,6044519,6044519
