transport,consumers,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
zcring,1,64,3039,115,542,1100198,1500056,1552639
pipe,1,64,38639,2101,1074300,2652536,4730599,5227517
unix,1,64,40384,2795,1143763,2780082,4292440,4781516
zcring,1,64,3602,116,559,1177174,1494454,1557815
pipe,1,64,30579,2083,913712,2567795,3214885,3578698
unix,1,64,41620,2938,1063767,2544827,3016983,3142168
zcring,1,64,4522,115,575,1297983,2113080,2612864
pipe,1,64,51244,2211,1288817,2870135,5179745,5676098
unix,1,64,51734,2889,1290403,2586642,2988295,3046607
zcring,1,64,4794,117,571,1282220,1529072,1653487
pipe,1,64,29955,2073,889507,2429057,2929034,3042485
unix,1,64,32353,2947,937056,2397857,2990797,3259572
zcring,1,64,4088,118,555,1243745,1707240,1911185
pipe,1,64,34639,2210,968257,2321266,2922153,3122768
unix,1,64,42019,2871,1134023,2435474,2943238,3081989
zcring,1,256,4189,141,662,1302344,2113427,2613061
pipe,1,256,42394,2223,1140729,2798502,4971601,5468061
unix,1,256,44773,3047,1031972,2441974,4488941,4974144
zcring,1,256,4144,143,607,1236541,1515569,1580877
pipe,1,256,64784,2317,1454789,3189722,5586019,6082860
unix,1,256,34092,2918,947333,2559374,4092979,4584072
zcring,1,256,12284,158,104225,2701095,5399480,5899022
pipe,1,256,50341,2228,1203526,2597700,3000879,3397243
unix,1,256,42288,3018,1110397,2607716,2990193,3047041
zcring,1,256,2061,161,1852,874996,1493296,1550725
pipe,1,256,42958,2235,1208001,2505794,3012459,3157157
unix,1,256,39474,3047,1031527,2160925,2760635,3011346
zcring,1,256,39910,161,1371834,5327366,9447869,9947473
pipe,1,256,26891,2115,803387,2092581,2798190,2990502
unix,1,256,23912,2902,719205,2317340,3166962,3657948
zcring,1,1024,3646,291,1724,1196752,1529886,1927886
pipe,1,1024,10690,2214,159354,1603209,2883597,3358227
unix,1,1024,8423,3043,67310,1049342,2098170,2592977
zcring,1,1024,615,292,1355,3926,1115151,1614750
pipe,1,1024,5449,2208,17936,846609,2501200,2998095
unix,1,1024,7813,3052,22469,1386759,2516187,2908749
zcring,1,1024,347,296,1567,3801,32292,74656
pipe,1,1024,5540,2197,16723,932061,2432791,2930826
unix,1,1024,5236,3031,21411,689194,1411301,1606326
zcring,1,1024,817,296,1737,4345,1249383,1510036
pipe,1,1024,17864,2211,532872,1592602,3082903,3579737
unix,1,1024,64521,3288,1427262,2859420,4109906,4402282
zcring,1,1024,1403,297,7358,229858,1230016,1529786
pipe,1,1024,11433,2219,264969,1286900,2859842,3369419
unix,1,1024,46466,3140,1086989,3563466,8000891,8490090
zcring,1,4096,6781,886,4941,1392843,2254168,2553046
pipe,1,4096,44259,2797,1154702,2453549,3125270,3515721
unix,1,4096,51420,4060,1332390,2888761,4692363,5178885
zcring,1,4096,3125,843,3163,991544,1490252,1555882
pipe,1,4096,12163,2694,129396,2082810,3003116,3196367
unix,1,4096,13066,3929,240116,1462631,2460166,2743114
zcring,1,4096,26913,879,703107,4797005,6435067,6932848
pipe,1,4096,35147,2755,1005212,2526963,3394479,3670932
unix,1,4096,11473,3944,84835,1552224,2726745,2922615
zcring,1,4096,954,838,3603,11325,78214,107104
pipe,1,4096,9973,2680,76083,1583456,2623855,2935746
unix,1,4096,15008,3915,382995,1906296,2790031,2984963
zcring,1,4096,874,815,1891,4691,23777,69869
pipe,1,4096,4266,2665,17744,444944,1041212,1336080
unix,1,4096,6398,3863,25006,630413,1901173,2389197
zcring,1,16384,3205,3035,7861,10625,51249,66884
pipe,1,16384,6991,5420,26595,201716,1667015,2396822
unix,1,16384,7201,6129,13028,279435,903282,1169600
zcring,1,16384,3247,2996,6623,10656,371046,867385
pipe,1,16384,7173,5528,26614,407909,1384928,2068803
unix,1,16384,10799,6012,40572,1218820,2484509,2966797
zcring,1,16384,3091,2973,5445,10202,55532,97712
pipe,1,16384,8625,5408,27232,776130,3548314,5965803
unix,1,16384,9256,6084,28716,824598,2171241,2571304
zcring,1,16384,4051,2973,10564,133740,1225957,1486669
pipe,1,16384,8212,5468,27530,828812,2750253,3492584
unix,1,16384,9648,6042,29234,870216,2528234,3013982
zcring,1,16384,3147,2968,7795,10855,105610,201564
pipe,1,16384,8074,5429,25856,765733,2722234,3653891
unix,1,16384,8510,6052,23811,746812,2460839,2949422
zcring,1,65536,10192,10007,15402,18434,26035,82409
pipe,1,65536,20019,16817,149257,228364,1417540,1672824
unix,1,65536,16484,12633,56026,960027,2661383,3655699
zcring,1,65536,10373,10049,15623,19491,95817,114082
pipe,1,65536,19483,16743,135470,205366,1428274,2330451
unix,1,65536,14768,12768,42000,451689,1600184,2710314
zcring,1,65536,10129,9975,15100,17875,43781,52498
pipe,1,65536,19356,16703,132543,202486,1141208,1498473
unix,1,65536,15311,12619,44057,863410,2894461,3674891
zcring,1,65536,10093,9945,14933,17670,61382,111950
pipe,1,65536,19437,16745,129562,185126,1125886,1290533
unix,1,65536,14469,12598,41603,501941,1470201,1965262
zcring,1,65536,10033,9895,14807,16718,55952,127819
pipe,1,65536,19844,16697,133440,209392,1960935,3824633
unix,1,65536,15821,12721,53597,883380,1986919,3689788
zcring,1,262144,31704,30915,52940,57658,76542,76542
pipe,1,262144,79319,70616,206476,302662,1230420,1230420
unix,1,262144,36091,34316,63511,178044,966454,966454
zcring,1,262144,38593,31361,55735,59480,62077,62077
pipe,1,262144,77922,70615,216119,243339,1289041,1289041
unix,1,262144,34801,33365,57782,147929,2309659,2309659
zcring,1,262144,31674,31007,52027,57024,103593,103593
pipe,1,262144,81275,71397,244836,254266,391104,391104
unix,1,262144,33986,32720,56872,149649,1200041,1200041
zcring,1,262144,31873,30975,52723,58145,139630,139630
pipe,1,262144,81712,71001,234559,249102,1598849,1598849
unix,1,262144,34776,33536,58718,206570,1262687,1262687
zcring,1,262144,31480,31009,51731,56638,133828,133828
pipe,1,262144,76780,69872,197797,383189,927962,927962
unix,1,262144,36982,35235,65100,204954,1482253,1482253
zcring,1,1048576,119300,116589,156311,217402,221367,221367
pipe,1,1048576,362739,326050,507785,722250,867721,867721
unix,1,1048576,163431,160420,208787,295244,303517,303517
zcring,1,1048576,121278,117547,174648,227507,266401,266401
pipe,1,1048576,357068,323094,660220,744850,788199,788199
unix,1,1048576,161116,156755,224003,263645,1459744,1459744
zcring,1,1048576,128319,119047,234211,259814,273950,273950
pipe,1,1048576,361784,326083,519883,653402,828863,828863
unix,1,1048576,167550,165406,217622,254502,280546,280546
zcring,1,1048576,119801,117566,154653,230976,234618,234618
pipe,1,1048576,364281,323423,647917,1612053,1797155,1797155
unix,1,1048576,166744,165357,205498,254849,272537,272537
zcring,1,1048576,121411,118777,165089,216394,225097,225097
pipe,1,1048576,349139,322974,501275,1292194,1488804,1488804
unix,1,1048576,171012,167250,225022,529999,1185319,1185319
zcring,2,64,188,139,704,2851,10537,82410
pipe,2,64,5880,3344,21932,760426,2484744,2982721
unix,2,64,5159,4301,6541,387095,898254,1067646
zcring,2,64,179,134,627,2785,19194,93112
pipe,2,64,5540,3381,22253,725847,1421523,1660198
unix,2,64,4844,4293,6280,184956,880786,1051163
zcring,2,64,181,138,1012,2885,12644,41367
pipe,2,64,6479,3360,21908,940622,2295442,2793334
unix,2,64,6490,4313,10434,744401,1757459,2253996
zcring,2,64,199,139,1280,2898,63438,224861
pipe,2,64,4503,3344,8421,481930,1041832,1408805
unix,2,64,6680,4290,7402,854730,1470118,1610961
zcring,2,64,194,141,1405,2948,50940,61716
pipe,2,64,5944,3340,22534,744909,2593230,3091992
unix,2,64,13530,4311,31861,2263416,2954160,2955322
zcring,2,256,4297,162,2960,1424872,2304419,2638093
pipe,2,256,5368,3373,13002,711190,1980195,2180516
unix,2,256,5792,4392,8067,527746,1039280,1414037
zcring,2,256,197,155,663,2893,5007,57090
pipe,2,256,5833,3378,22309,756290,1712591,2211021
unix,2,256,6636,4386,7583,781276,2402782,2899226
zcring,2,256,205,149,604,2873,76301,213412
pipe,2,256,9009,3365,27869,1256352,2428721,2926724
unix,2,256,4978,4393,6293,210587,906054,1054300
zcring,2,256,190,148,600,2669,21568,113064
pipe,2,256,5981,3356,8969,882039,2786044,2986182
unix,2,256,9981,4397,13230,1800137,2890481,2988300
zcring,2,256,190,147,596,2851,19191,113174
pipe,2,256,6577,3374,21627,1015693,2515526,3013784
unix,2,256,6743,4399,7905,888568,2008972,2502745
zcring,2,1024,309,259,730,3065,75794,87261
pipe,2,1024,6675,3484,22526,923096,2231324,2729209
unix,2,1024,5242,4581,6748,312904,806769,913878
zcring,2,1024,304,255,690,2659,92540,235527
pipe,2,1024,6563,3496,23245,829327,2319385,2806048
unix,2,1024,6796,4558,7639,748131,2033508,2435223
zcring,2,1024,292,254,689,2513,60134,73083
pipe,2,1024,13677,3489,94675,2280845,2917648,2978947
unix,2,1024,10569,4625,80896,1296565,2493391,2988561
zcring,2,1024,292,254,687,3235,27345,90446
pipe,2,1024,7479,3501,22058,1078506,2456457,2954780
unix,2,1024,8320,4605,10335,1217790,2812410,3011593
zcring,2,1024,735,253,694,3661,1206254,1505973
pipe,2,1024,4630,3472,7379,468818,1151710,1649768
unix,2,1024,7143,4605,8242,903755,1481677,1679191
zcring,2,4096,761,710,1219,4493,38243,165751
pipe,2,4096,5727,4024,6352,685951,1679067,2171745
unix,2,4096,6580,5628,8280,410455,939929,1099905
zcring,2,4096,769,706,1231,4339,75938,271766
pipe,2,4096,8074,4033,10676,1487427,2777004,2991419
unix,2,4096,6711,5657,9459,407969,1030994,1426178
zcring,2,4096,738,699,1188,3012,25494,39553
pipe,2,4096,5817,4019,6795,734253,1691664,2179251
unix,2,4096,8287,5660,36101,759819,1767870,2260744
zcring,2,4096,753,707,1195,3503,42169,86080
pipe,2,4096,6945,4008,22854,1004384,1922607,2322148
unix,2,4096,7175,5633,9797,603017,1561859,1963699
zcring,2,4096,751,708,1199,3487,23778,81012
pipe,2,4096,5721,4004,23051,583380,1978093,2474221
unix,2,4096,10083,5655,42192,1228879,2786841,3083319
zcring,2,16384,3116,2833,4386,8434,640870,1138070
pipe,2,16384,9034,7824,40325,585996,1569526,1957791
unix,2,16384,8848,8610,12214,266782,933409,1129404
zcring,2,16384,2914,2831,4349,7574,81946,94866
pipe,2,16384,10112,7864,26929,912057,2679349,3564358
unix,2,16384,11348,8701,18251,1199178,2647355,3130715
zcring,2,16384,2915,2829,4340,7267,94614,108708
pipe,2,16384,8249,7778,11605,212028,964527,1075446
unix,2,16384,9976,8669,13278,712767,2346422,2789167
zcring,2,16384,4263,2842,4601,441736,1791170,2287125
pipe,2,16384,9834,7791,25828,948081,2269201,2653791
unix,2,16384,12579,8772,44519,1273938,2538411,2956444
zcring,2,16384,2929,2803,4306,7418,128841,328241
pipe,2,16384,8525,7783,13203,260957,1810122,2196610
unix,2,16384,10111,8705,13438,772058,1804772,2097869
zcring,2,65536,10166,9834,15267,22642,78159,129339
pipe,2,65536,24852,23799,161857,196009,1052727,2134218
unix,2,65536,19033,19505,50452,808960,1696075,3353250
zcring,2,65536,10552,9800,14833,20083,1765224,2250531
pipe,2,65536,26519,24330,173438,233318,1384177,3416949
unix,2,65536,19002,19503,57171,290713,2306786,3184728
zcring,2,65536,10110,9814,14910,17359,86697,95357
pipe,2,65536,25782,24045,169326,232118,1464650,2180914
unix,2,65536,21591,20076,90891,851291,2199768,2902421
zcring,2,65536,10035,9842,14930,16578,72050,103301
pipe,2,65536,26749,23938,175291,473619,2198005,3134463
unix,2,65536,21294,19923,68303,977861,2918153,3702791
