transport,consumers,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
zcring,1,1048576,133591,107668,345193,939821,939821,939821
pipe,1,1048576,470744,324657,2348951,4068301,4068301,4068301
unix,1,1048576,334437,241936,3386086,5714755,5714755,5714755
zcring,1,1048576,140927,107536,354915,1656562,1656562,1656562
pipe,1,1048576,479984,342504,2514042,5301997,5301997,5301997
unix,1,1048576,314527,239807,1870186,4217562,4217562,4217562
zcring,1,1048576,135275,107502,298054,1441616,1441616,1441616
pipe,1,1048576,539064,344804,3872178,4613968,4613968,4613968
unix,1,1048576,353976,250753,2560670,4217800,4217800,4217800
zcring,1,1048576,138692,108131,341231,1305697,1305697,1305697
pipe,1,1048576,548132,372227,3498864,7514046,7514046,7514046
unix,1,1048576,321655,242010,2769336,5278529,5278529,5278529
zcring,1,1048576,147381,108102,362000,1610177,1610177,1610177
pipe,1,1048576,528123,348698,3464706,8026529,8026529,8026529
unix,1,1048576,418763,275370,3443140,5571685,5571685,5571685
zcring,2,1048576,218199,114416,1939773,4766533,5426613,5426613
pipe,2,1048576,766132,620775,4329120,7155321,9849021,9849021
unix,2,1048576,484506,339559,3797504,5613303,8554768,8554768
zcring,2,1048576,208680,112353,1916546,3982090,4406674,4406674
pipe,2,1048576,773215,612080,4280567,12350009,13423086,13423086
unix,2,1048576,456210,346539,3040161,4347689,4426063,4426063
zcring,2,1048576,187711,111357,1293517,2720226,2727906,2727906
pipe,2,1048576,750963,618722,3854629,13271481,13701559,13701559
unix,2,1048576,460587,311322,3366049,5220008,6296413,6296413
zcring,2,1048576,315736,208784,3415663,6932837,7532831,7532831
pipe,2,1048576,740863,596869,3949628,7923176,8117808,8117808
unix,2,1048576,455184,322245,3068013,7454874,7788681,7788681
zcring,2,1048576,235153,111835,3003770,5002524,6949283,6949283
pipe,2,1048576,744851,621198,3628825,5595231,7917559,7917559
unix,2,1048576,465435,335705,3552297,6058064,11102801,11102801
zcring,4,1048576,323284,192085,4193116,7020932,7956381,7956381
pipe,4,1048576,1139376,939237,6137535,9427979,16125423,16125423
unix,4,1048576,617130,478827,4361772,7034665,7864962,7864962
zcring,4,1048576,209405,133816,1768618,2837103,3417096,3417096
pipe,4,1048576,1127558,945556,4792072,8881670,9301060,9301060
unix,4,1048576,631950,517604,3723826,6917586,7547953,7547953
zcring,4,1048576,247061,131946,3119772,7518585,9466195,9466195
pipe,4,1048576,1140566,936144,7185796,10391948,11149403,11149403
unix,4,1048576,682177,522210,4658379,7361891,11157154,11157154
zcring,4,1048576,189650,134108,740165,2259519,2950471,2950471
pipe,4,1048576,1136390,950920,4962423,9527268,12149505,12149505
unix,4,1048576,689678,510189,4409591,9296572,9829060,9829060
zcring,4,1048576,268018,133789,3054875,6003756,6993811,6993811
pipe,4,1048576,1066721,929167,5674235,9771460,9921095,9921095
unix,4,1048576,640799,510511,5298946,8946035,10414153,10414153
