transport,consumers,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
zcring,1,64,3877,2346,2646,507981,1115882,1316031
pipe,1,64,4974,2173,2493,943484,1342305,1346804
unix,1,64,5226,3118,3547,909330,1306842,1311716
zcring,1,64,3583,2340,2661,486436,1210261,1310199
pipe,1,64,4522,2177,2505,892958,1292288,1297342
unix,1,64,5808,3142,3547,969766,1364796,1368823
zcring,1,64,2529,2330,2619,4499,471415,477505
pipe,1,64,4192,2161,2454,867716,1307639,1312074
unix,1,64,5890,3161,3619,1054811,1354720,1358913
zcring,1,64,2741,2328,2619,72765,796933,1294092
pipe,1,64,4095,2180,2465,797053,1283309,1295525
unix,1,64,5536,3119,3542,926240,1322116,1328529
zcring,1,64,2351,2341,2617,3710,9144,189366
pipe,1,64,3266,2159,2435,499847,1294199,1310974
unix,1,64,5493,3116,3599,860155,1351491,1356289
zcring,1,256,3635,2340,2649,516869,965927,1365720
pipe,1,256,5012,2206,2521,1021041,1322532,1325744
unix,1,256,6456,3189,3711,1015777,1313497,1318026
zcring,1,256,5487,2338,2667,962147,1361998,1365566
pipe,1,256,3687,2185,2468,649011,1344607,1351387
unix,1,256,6281,3216,3670,1054450,1351852,1354803
zcring,1,256,3796,2364,2663,711445,1310398,1323235
pipe,1,256,4967,2175,2512,1021060,1324155,1328120
unix,1,256,5818,3223,3688,839007,1316084,1319926
zcring,1,256,5782,2325,2689,1134603,1336150,1341691
pipe,1,256,5978,2189,2937,1087356,1615925,2113594
unix,1,256,4636,3199,3605,549378,1272122,1372970
zcring,1,256,4168,2382,2730,751912,1351755,1358501
pipe,1,256,4819,2185,2587,904215,1296023,1302977
unix,1,256,4258,3186,3635,423114,1215656,1320265
zcring,1,1024,4636,2437,2761,852999,1349341,1353276
pipe,1,1024,4748,2305,2654,917781,1315912,1321893
unix,1,1024,6475,3415,3871,986471,1286878,1290097
zcring,1,1024,3298,2455,2755,380273,943258,1051335
pipe,1,1024,4221,2301,2607,803375,1301588,1307542
unix,1,1024,5931,3409,3932,913225,1627746,2122049
zcring,1,1024,3675,2454,2780,525694,1243581,1346835
pipe,1,1024,4769,2306,2698,952476,1346443,1354937
unix,1,1024,5951,3409,4016,919704,1317152,1323226
zcring,1,1024,2878,2448,2758,79781,787819,1009568
pipe,1,1024,5241,2309,2770,1071731,1374619,1378333
unix,1,1024,6154,3407,3886,900247,2431316,2925378
zcring,1,1024,5566,2451,2943,1014031,1311553,1316626
pipe,1,1024,3586,2317,2606,594519,1215752,1315754
unix,1,1024,6663,3392,4118,1026892,1321205,1325530
zcring,1,4096,5315,2901,3486,904237,1332894,1343467
pipe,1,4096,3708,2717,3021,416279,1209747,1315783
unix,1,4096,6450,4200,5290,808880,1296771,1305231
zcring,1,4096,5253,2882,3476,925035,1323037,1328476
pipe,1,4096,5119,2720,3062,837321,1327168,1331675
unix,1,4096,5386,4173,4874,437405,1093519,1354467
zcring,1,4096,4622,2900,3509,669823,1268672,1368443
pipe,1,4096,5437,2723,3167,906843,1302647,1308583
unix,1,4096,7793,4185,6572,1092689,1390227,1392644
zcring,1,4096,5682,2897,3663,1007988,1309906,1477850
pipe,1,4096,6175,2709,3478,1127355,1329674,1333618
unix,1,4096,6598,4189,5839,944607,1373408,1379022
zcring,1,4096,4815,2915,3651,739514,1308481,1314235
pipe,1,4096,6347,2734,4056,1060645,1357779,1362664
unix,1,4096,6016,4195,6539,527470,1182221,1301219
zcring,1,16384,7175,5905,6486,535293,1256090,1355252
pipe,1,16384,6419,5629,6996,156366,1177792,1371775
unix,1,16384,7440,6186,7748,377385,1630170,2117808
zcring,1,16384,7004,5899,6581,463090,1157931,1286382
pipe,1,16384,6595,5624,7946,187025,938370,1240505
unix,1,16384,7535,6192,8051,459828,1093693,1288346
zcring,1,16384,7550,5882,6817,721222,1310982,1319285
pipe,1,16384,8512,5634,10217,1158678,1357796,1360375
unix,1,16384,8763,6199,8454,835751,1295163,1373060
zcring,1,16384,6447,5890,6548,180020,974373,1271977
pipe,1,16384,7255,5626,8411,463362,1296441,1393682
unix,1,16384,7239,6180,7895,318499,1169881,1335957
zcring,1,16384,6905,5909,6535,407491,1099353,1300851
pipe,1,16384,7484,5627,8646,476669,1300059,1397545
unix,1,16384,7390,6200,7946,395287,1081983,1276701
zcring,1,65536,16872,15257,17479,590178,1283022,1403314
pipe,1,65536,20748,17541,136196,220862,1305062,1384333
unix,1,65536,14521,12990,31411,259757,1254179,1371374
zcring,1,65536,15990,15284,18155,243856,1012674,1289190
pipe,1,65536,20723,17544,139077,219289,1353501,1600411
unix,1,65536,15375,13035,44155,986684,1371362,1410938
zcring,1,65536,16253,15276,18021,359320,1180626,1366382
pipe,1,65536,20603,17541,134097,222331,1133005,1291272
unix,1,65536,15573,13002,45869,970522,1364310,1486113
zcring,1,65536,16409,15284,17693,444943,1116619,1291290
pipe,1,65536,20533,17479,124556,222781,1308864,1415398
unix,1,65536,14385,13002,30763,186637,1294084,1410094
zcring,1,65536,15945,15250,17512,271472,890453,1303044
pipe,1,65536,20939,17607,151362,230037,1299502,1406930
unix,1,65536,14647,12981,30493,187753,1382460,2150189
zcring,1,262144,50076,49490,52263,94172,1327790,1327790
pipe,1,262144,88368,76544,292027,624444,1424129,1424129
unix,1,262144,34373,32023,65652,392166,1313509,1313509
zcring,1,262144,50547,49478,51178,494988,1091254,1091254
pipe,1,262144,84824,75070,283627,453166,1190443,1190443
unix,1,262144,33907,31955,64585,206045,1291283,1291283
zcring,1,262144,50526,49513,54012,189894,1123393,1123393
pipe,1,262144,87129,75525,297330,308149,1449560,1449560
unix,1,262144,33723,31974,65877,207301,1360067,1360067
zcring,1,262144,51909,49455,51892,1058704,1230322,1230322
pipe,1,262144,83777,74960,272017,283750,1361285,1361285
unix,1,262144,35274,31927,65146,582614,1404357,1404357
zcring,1,262144,50912,49498,53707,541935,1085372,1085372
pipe,1,262144,85021,75086,278887,365436,1294371,1294371
unix,1,262144,34296,32084,66459,251506,1367498,1367498
zcring,1,1048576,194001,189444,205506,1121685,1528130,1528130
pipe,1,1048576,378202,345979,564709,1178969,1963024,1963024
unix,1,1048576,159686,153629,199176,556664,695904,695904
zcring,1,1048576,190811,187815,200432,740366,1448561,1448561
pipe,1,1048576,391585,354902,734185,763760,901525,901525
unix,1,1048576,160059,154493,203209,742410,1120839,1120839
zcring,1,1048576,192592,189776,216785,557651,558061,558061
pipe,1,1048576,398203,353758,897069,1249002,1579391,1579391
unix,1,1048576,157831,152965,201194,493236,497418,497418
zcring,1,1048576,190216,187771,201417,737735,1428067,1428067
pipe,1,1048576,384866,351798,733292,911512,1286916,1286916
unix,1,1048576,161755,153687,232401,556330,1523230,1523230
zcring,1,1048576,188207,187649,198038,221127,233338,233338
pipe,1,1048576,384205,349988,622497,1516765,1704901,1704901
unix,1,1048576,162575,155120,219634,828194,981924,981924
zcring,2,64,5238,2991,3302,846597,1346058,1352383
pipe,2,64,6268,3102,3750,1058932,1359656,1632137
unix,2,64,6995,4252,4951,969612,1363282,1468485
zcring,2,64,3446,2977,3281,29573,929352,1067284
pipe,2,64,5611,3101,3614,961879,1361001,1369684
unix,2,64,4925,4247,4880,435337,1230766,1334822
zcring,2,64,3095,2979,3270,5547,440628,940466
pipe,2,64,3801,3108,3495,397032,1141754,1341160
unix,2,64,5619,4252,4892,736860,1339696,1346888
zcring,2,64,4258,2979,3274,548532,1269602,1370158
pipe,2,64,4624,3096,3505,683778,1354730,1361926
unix,2,64,7153,4244,4924,969990,1358944,1363226
zcring,2,64,5143,2982,3302,840049,1338838,1448481
pipe,2,64,5218,3107,3507,832771,1327963,1331420
unix,2,64,6928,4267,4980,955954,1321640,1328400
zcring,2,256,5911,2997,3318,953452,1350385,1449080
pipe,2,256,5561,3109,3508,926602,1324950,1332333
unix,2,256,5756,4357,5088,723786,1356828,1364049
zcring,2,256,3774,3002,3296,248940,1139562,1348614
pipe,2,256,5289,3129,3607,832749,2130473,2628376
unix,2,256,5729,4361,5104,724147,1319458,1425596
zcring,2,256,3331,2994,3298,11464,841145,1010747
pipe,2,256,5085,3123,3524,843697,1357384,1363804
unix,2,256,5495,4337,5073,621676,1311282,1319898
zcring,2,256,4795,2997,3321,736340,1279536,1379492
pipe,2,256,4731,3104,3506,733314,1327313,1431552
unix,2,256,5874,4325,5044,771583,1365107,1375543
zcring,2,256,4389,2990,3289,563551,1264523,1364503
pipe,2,256,5289,3110,3508,882133,1294194,1303117
unix,2,256,4846,4333,5014,308321,1197807,1299736
zcring,2,1024,4535,3063,3355,577412,1277189,1377177
pipe,2,1024,6186,3229,3625,969889,1305036,1311531
unix,2,1024,7105,4531,5345,991187,1633014,2127434
zcring,2,1024,4943,3064,3374,754184,1330941,1337107
pipe,2,1024,3644,3239,3611,139456,959924,1358470
unix,2,1024,5637,4531,5285,589268,1256583,1355721
zcring,2,1024,4901,3065,3390,748525,1345822,1350974
pipe,2,1024,5109,3239,3663,774473,1356263,1363797
unix,2,1024,7033,4529,5358,956997,1286898,1293155
zcring,2,1024,3516,3052,3367,16903,916441,1072872
pipe,2,1024,5985,3227,3717,955531,1351406,1359111
unix,2,1024,5495,4526,5230,560727,1250609,1354237
zcring,2,1024,5862,3065,3386,970671,1370537,1638539
pipe,2,1024,4957,3222,3627,768692,1359705,1366620
unix,2,1024,5473,4541,5327,564532,1286993,1385945
zcring,2,4096,4382,3491,3999,326058,1129283,1329146
pipe,2,4096,6623,3728,4170,1028833,1329966,1441189
unix,2,4096,7102,5562,6796,742009,1272251,1370678
zcring,2,4096,5731,3481,4033,870055,1368710,1372480
pipe,2,4096,5593,3741,4135,832234,1327586,1336735
unix,2,4096,8610,5586,8108,1034062,1330381,1333907
zcring,2,4096,4901,3500,4051,573117,1265186,1376591
pipe,2,4096,6025,3754,4212,900077,1297862,1306138
unix,2,4096,8330,5601,8618,981746,1375127,1379455
zcring,2,4096,5557,3491,4125,872835,1379809,1387512
pipe,2,4096,6195,3752,4172,965772,1362573,1370141
unix,2,4096,8618,5590,8684,1051273,1350226,1450998
zcring,2,4096,4557,3496,4054,448825,1190003,1327518
pipe,2,4096,3811,3727,4113,8758,867216,1129487
unix,2,4096,7407,5587,6959,783581,1368662,1375666
zcring,2,16384,8290,6467,6998,770056,1295145,1370539
pipe,2,16384,7877,7519,8791,178507,1165760,1359681
unix,2,16384,9784,8415,10644,902000,1390796,1393952
zcring,2,16384,9400,6479,7132,1020503,1321889,1323795
pipe,2,16384,8267,7528,9564,228976,1307873,1429514
unix,2,16384,8871,8426,10791,571086,1255392,1355455
zcring,2,16384,9758,6479,7975,1083663,1386574,1680715
pipe,2,16384,8254,7528,10471,225183,1248242,1345490
unix,2,16384,9030,8430,10794,634736,1248201,1323383
zcring,2,16384,8326,6476,7133,767521,1364466,1506797
pipe,2,16384,8451,7512,10304,528887,1261815,1357239
unix,2,16384,8927,8424,10775,575679,1260467,1362842
zcring,2,16384,7744,6470,7061,558077,1287583,1387405
pipe,2,16384,8650,7533,10900,731397,1303572,1497288
unix,2,16384,9748,8430,10871,824533,1366596,1379999
zcring,2,65536,17457,15776,17922,758931,1304302,1408993
pipe,2,65536,25821,23900,181222,272120,1275578,1483042
unix,2,65536,18417,19447,45665,496241,1317855,1416523
zcring,2,65536,18072,15783,18676,890793,1354172,1404206
pipe,2,65536,27034,24003,190114,384771,1364787,1514967
unix,2,65536,18262,19469,47978,202956,1220323,1419928
zcring,2,65536,17120,15790,18612,562691,1262665,1385685
pipe,2,65536,26722,24024,188029,241668,1320844,2129753
unix,2,65536,17979,19453,44199,198409,1192449,1401470
zcring,2,65536,17408,15790,17956,709159,1312616,1386143
pipe,2,65536,26814,24001,191330,338633,1356695,1416305
unix,2,65536,18893,19496,50913,915758,1326189,1407049
zcring,2,65536,16783,15776,17824,398464,1197330,1382607
pipe,2,65536,26818,23999,188908,385554,1341086,1417454
unix,2,65536,18997,19502,50656,988573,1340228,1398332
zcring,2,262144,50541,49832,51438,123284,1110502,1110502
pipe,2,262144,125532,132627,420879,1229449,1294245,1294245
unix,2,262144,45914,54507,89684,230979,1141995,1141995
zcring,2,262144,53446,49845,54006,1299653,1323411,1323411
pipe,2,262144,125141,132481,358735,876749,1765501,1765501
unix,2,262144,49334,54189,92118,1391358,1411864,1411864
zcring,2,262144,53102,49894,54486,979222,1355811,1355811
pipe,2,262144,119990,129605,351112,1041016,1839807,1839807
unix,2,262144,47144,54860,90665,328888,1180838,1180838
zcring,2,262144,54111,49874,54624,1379713,1383056,1383056
pipe,2,262144,122402,131260,355344,1381626,1444371,1444371
unix,2,262144,46488,54438,90481,332059,1017247,1017247
zcring,2,262144,52284,49840,53994,761985,1381486,1381486
pipe,2,262144,123067,130861,362103,1102438,1515637,1515637
unix,2,262144,48667,54791,92977,609565,1438496,1438496
zcring,2,1048576,190835,187884,198623,1020076,1117085,1117085
pipe,2,1048576,566666,615744,1056212,1808520,2343965,2343965
unix,2,1048576,240015,260940,376762,1597928,1602611,1602611
zcring,2,1048576,190565,188110,195968,1017470,1259536,1259536
pipe,2,1048576,582423,635198,1206157,1818370,2130974,2130974
unix,2,1048576,235474,257108,339199,1569773,1669981,1669981
zcring,2,1048576,188740,188178,200270,209049,315214,315214
pipe,2,1048576,580216,659161,932203,2640416,3096142,3096142
unix,2,1048576,233786,251085,317528,1133985,1342736,1342736
zcring,2,1048576,188476,188096,197700,219695,219698,219698
pipe,2,1048576,581946,623218,1093012,2443725,2773531,2773531
unix,2,1048576,239076,257964,344899,1662129,1755859,1755859
zcring,2,1048576,190604,188091,201356,740037,740039,740039
pipe,2,1048576,579509,638936,1014383,1675531,3266269,3266269
unix,2,1048576,235586,254234,352702,1095642,1426090,1426090
zcring,4,64,13921,12631,24144,865722,1347951,1365582
pipe,4,64,5761,5557,7593,25810,1102106,1307470
unix,4,64,8386,6444,9621,870324,1355065,1366790
zcring,4,64,12646,12271,23800,493727,1117021,1325301
pipe,4,64,6851,5521,7585,706506,1299626,1310513
unix,4,64,6064,6415,9538,12524,59093,108205
zcring,4,64,13946,12534,25947,853715,1336995,1353591
pipe,4,64,8049,5599,7826,912587,1312206,1317009
unix,4,64,7366,6458,9549,520263,1300173,1323946
zcring,4,64,13872,12449,23622,863302,1345655,1362420
pipe,4,64,7315,5521,7597,812514,1303603,1311166
unix,4,64,8614,6415,9586,920952,1317368,1322663
zcring,4,64,11900,11705,23213,120389,773425,996869
pipe,4,64,6557,5508,7496,500374,1293623,1302039
unix,4,64,6595,6424,11238,48503,1101553,1313088
zcring,4,256,12504,11985,23193,444307,1275605,1376953
pipe,4,256,7922,5569,7729,920075,1317408,1322342
unix,4,256,8879,6586,9785,874372,1381727,1390892
zcring,4,256,13192,11722,24094,594427,1379968,1401124
pipe,4,256,6493,5552,7666,521394,1314575,1321431
unix,4,256,6629,6549,9746,29649,1111794,1322006
zcring,4,256,11769,11854,23573,117041,710808,931867
pipe,4,256,6115,5559,7623,301292,1201128,1304362
unix,4,256,6239,6587,9727,14636,77967,168938
zcring,4,256,12774,11863,23110,559404,1343749,1362812
pipe,4,256,5209,5551,7599,10851,72925,109048
unix,4,256,6314,6619,11150,13457,85929,125104
zcring,4,256,14355,12143,26002,964105,1361444,1368212
pipe,4,256,7925,5536,7649,944317,1342879,1347833
unix,4,256,9012,6572,9785,973424,1368352,1377930
zcring,4,1024,13672,12295,23392,845514,1325836,1345337
pipe,4,1024,7476,5781,7896,855571,1345218,1353305
unix,4,1024,6454,6880,10055,12878,64600,95157
zcring,4,1024,14398,12733,24143,954660,1349561,1361638
pipe,4,1024,6150,5769,7840,366022,1266723,1370573
