transport,consumers,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
zcring,1,64,136,117,400,438,652,14413
pipe,1,64,5468,2182,4006,940397,2537799,3036079
unix,1,64,5534,3210,4557,880041,1988919,2484529
zcring,1,64,142,117,401,454,10122,75390
pipe,1,64,5289,2197,3255,1055342,2452118,2950566
unix,1,64,4902,3196,4461,652859,1779301,2274726
zcring,1,64,143,117,400,449,26019,76003
pipe,1,64,4363,2201,3459,702455,2446307,2943721
unix,1,64,4584,3200,4311,557329,1671113,2166187
zcring,1,4096,835,849,1225,1429,24193,114249
pipe,1,4096,3384,2732,3404,65359,1205403,1696849
unix,1,4096,7761,4195,9257,1090498,2221430,2479708
zcring,1,4096,860,893,1253,1431,27568,93304
pipe,1,4096,3119,2733,3256,28902,855474,1250589
unix,1,4096,5435,4220,6102,388735,977941,1075283
zcring,1,4096,821,797,1239,3222,25431,94659
pipe,1,4096,5153,2735,4827,836876,2216818,2611100
unix,1,4096,5729,4206,6017,572597,1207011,1600808
zcring,1,1048576,188217,186238,209234,237554,247458,247458
pipe,1,1048576,383989,345885,690327,1526509,1598316,1598316
unix,1,1048576,162716,155098,216396,1384436,1854721,1854721
zcring,1,1048576,190045,188763,215208,253508,288527,288527
pipe,1,1048576,386253,350450,676686,1397057,1578573,1578573
unix,1,1048576,164027,156591,228237,640688,1213766,1213766
zcring,1,1048576,191883,191118,215119,232275,283485,283485
pipe,1,1048576,383124,348922,660848,1034571,3821784,3821784
unix,1,1048576,162772,155064,225917,739041,993014,993014
zcring,2,64,133,113,496,1046,2513,6831
pipe,2,64,3866,3128,3536,304803,1217226,1659189
unix,2,64,6878,4392,7214,949924,2519353,3014760
zcring,2,64,145,115,515,594,8385,165243
pipe,2,64,4166,3124,3559,496308,1495394,1694133
unix,2,64,5737,4310,5258,731749,1513701,1678375
zcring,2,64,509,116,523,1733,1347760,1847567
pipe,2,64,4309,3129,3606,577109,1075954,1274921
unix,2,64,6498,4334,5159,908370,1479881,1663749
zcring,2,4096,791,747,1248,1546,29233,61096
pipe,2,4096,4710,3774,4233,481786,1211143,1568671
unix,2,4096,7956,5603,9001,882858,1718293,2158237
zcring,2,4096,798,749,1271,1571,20751,110983
pipe,2,4096,4890,3746,4208,606319,1220160,1495326
unix,2,4096,6378,5584,7324,352038,1171665,1315084
zcring,2,4096,809,769,1280,1525,14265,64230
pipe,2,4096,4660,3755,4258,503818,1121144,1304372
unix,2,4096,11498,5643,28746,1921591,2873990,3008191
zcring,2,1048576,191232,189611,222160,240635,240638,240638
pipe,2,1048576,570961,615340,1027042,3433894,5311694,5311694
unix,2,1048576,234125,259983,329168,492288,684760,684760
zcring,2,1048576,196800,195363,220311,235655,235657,235657
pipe,2,1048576,564498,619949,978571,1912058,1950554,1950554
unix,2,1048576,238742,260313,351973,1616953,2828168,2828168
zcring,2,1048576,208447,207868,240216,251773,251776,251776
pipe,2,1048576,588382,624266,1034084,5899247,6248698,6248698
unix,2,1048576,244852,260861,352228,1772384,1860979,1860979
zcring,4,64,1511,1006,4541,5426,9742,80094
pipe,4,64,8316,6114,9122,812975,1809255,2017657
unix,4,64,7924,6623,11543,544768,2211011,2431548
zcring,4,64,1556,1043,4659,5880,33470,88271
pipe,4,64,7219,5615,7906,657743,1418310,1625773
unix,4,64,6227,6546,9750,28555,138126,240399
zcring,4,64,1551,1044,4652,5356,13330,96894
pipe,4,64,5886,5573,9201,114561,813089,918750
unix,4,64,7289,6582,9800,433139,1319760,1534213
zcring,4,4096,2248,1761,6284,7828,12123,264142
pipe,4,4096,6990,6342,9147,528005,892233,936410
unix,4,4096,8934,8201,14564,347544,955648,1136715
zcring,4,4096,2231,1703,5482,6796,23342,266960
pipe,4,4096,5849,6337,9006,36787,487987,696017
unix,4,4096,8881,8298,14960,147184,914008,1133413
zcring,4,4096,2197,1654,5254,6791,40834,270824
pipe,4,4096,6196,6269,8964,195620,846515,1058376
unix,4,4096,9553,8188,13609,533604,2113878,2347321
zcring,4,1048576,205462,204163,237913,254635,2746170,2746170
pipe,4,1048576,927630,944100,1627869,6184075,9927329,9927329
unix,4,1048576,374180,407836,660352,2831791,3082693,3082693
zcring,4,1048576,204200,205128,231966,261098,2779090,2779090
pipe,4,1048576,943934,947856,2527049,3745687,4063775,4063775
unix,4,1048576,365047,403701,585765,731373,823741,823741
zcring,4,1048576,213566,213041,250491,276717,2953836,2953836
pipe,4,1048576,922257,943019,1651005,1784099,2546805,2546805
unix,4,1048576,381456,417852,623123,1794258,2912185,2912185
