transport,consumers,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
zcring,1,64,218,115,361,405,408092,510298
pipe,1,64,3517,2029,2254,692092,1289944,1297851
unix,1,64,4397,3016,3340,601687,1197451,1296703
zcring,1,64,346,117,379,465,467162,471062
pipe,1,64,3606,2031,2287,642770,1334875,1346254
unix,1,64,5482,3012,3374,927401,1324424,1328980
zcring,1,64,193,119,384,1008,278136,478575
pipe,1,64,5404,2040,2347,1066237,1367854,1373387
unix,1,64,5461,3008,3361,966959,1365551,1371880
zcring,1,64,200,127,391,1347,268708,470280
pipe,1,64,4947,2016,2298,1018386,1317624,1322926
unix,1,64,4504,3027,3376,745006,1340724,1346671
zcring,1,64,502,119,387,104282,502167,507087
pipe,1,64,3574,2016,2271,569912,1274702,1374252
unix,1,64,4180,3016,3379,460707,916782,1335401
zcring,1,256,431,137,401,51437,451379,455547
pipe,1,256,3171,2047,2301,488741,1108594,1312127
unix,1,256,4928,3082,3466,814522,1307626,1313645
zcring,1,256,491,139,404,100094,500181,501985
pipe,1,256,4965,2061,2340,999147,1295241,1300757
unix,1,256,4239,3099,3457,550358,1271567,1370666
zcring,1,256,242,139,404,1447,376703,479602
pipe,1,256,2860,2050,2276,301835,1160121,1368445
unix,1,256,4658,3073,3460,760316,1355803,1364840
zcring,1,256,683,139,409,223802,521460,525954
pipe,1,256,3144,2050,2293,411298,1101231,1302202
unix,1,256,3593,3061,3445,9713,1156481,1359475
zcring,1,256,693,140,408,227861,526497,527809
pipe,1,256,3797,2057,2323,728150,1324278,1331141
unix,1,256,4730,3084,3447,580850,1272773,1374970
zcring,1,1024,857,235,501,250056,546241,548020
pipe,1,1024,4423,2177,2442,797260,1291942,1297236
unix,1,1024,5885,3254,3661,1063171,1362989,1367309
zcring,1,1024,412,237,504,2050,401379,501203
pipe,1,1024,5295,2161,2462,1064164,1363000,1368021
unix,1,1024,6191,3263,3706,1021155,1318678,1323827
zcring,1,1024,353,237,506,2064,403550,505128
pipe,1,1024,2929,2182,2392,358040,848271,1078959
unix,1,1024,3488,3264,3650,11025,503567,998230
zcring,1,1024,444,238,513,2791,444203,544117
pipe,1,1024,2857,2167,2400,97113,1185194,1290392
unix,1,1024,4888,3270,3653,695971,1290382,1298617
zcring,1,1024,441,240,516,3061,484593,489725
pipe,1,1024,4246,2184,2430,883190,1283235,1290149
unix,1,1024,4699,3248,3630,518755,1213508,1312575
zcring,1,4096,885,653,1133,1504,429832,529490
pipe,1,4096,4922,2594,2891,835104,1331267,1336069
unix,1,4096,5444,4031,4704,470660,1070610,1284218
zcring,1,4096,1036,674,1182,26708,524780,528605
pipe,1,4096,3108,2608,4235,9892,823214,1096133
unix,1,4096,4984,4033,4678,262882,1136663,1348611
zcring,1,4096,843,674,1220,4296,361641,464575
