transport,consumers,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
zcring,1,64,144,118,402,450,19908,57890
pipe,1,64,3206,2186,2834,327565,1275949,1674381
unix,1,64,5306,3198,4482,779249,1721396,1975673
zcring,1,64,148,118,411,1146,6969,65757
pipe,1,64,4305,2187,3215,707220,2403318,2901559
unix,1,64,5011,3214,4708,666659,1369545,1666450
zcring,1,64,148,120,421,2318,7620,100615
pipe,1,64,3418,2189,2892,450860,1696100,1905635
unix,1,64,3721,3180,4263,153634,751601,948715
zcring,1,64,145,121,426,1162,7921,19626
pipe,1,64,3196,2178,3086,294288,1482776,1743573
unix,1,64,4178,3231,4320,307976,1214185,1708348
zcring,1,64,151,122,431,1312,6879,64331
pipe,1,64,4294,2207,2979,766529,2227218,2725145
unix,1,64,5023,3205,4282,653904,2441129,2936906
zcring,1,256,157,136,422,474,597,5882
pipe,1,256,4301,2227,3003,757519,2065476,2563515
unix,1,256,4935,3260,4090,664568,1689547,1932926
zcring,1,256,161,136,427,1264,6256,16916
pipe,1,256,3212,2228,2667,427041,1114527,1239094
unix,1,256,4372,3287,3864,443983,1132007,1295184
zcring,1,256,162,137,434,1603,2686,22562
pipe,1,256,2467,2221,2619,17474,748055,1246109
unix,1,256,6451,3273,6214,917771,1914608,2410315
zcring,1,256,163,138,441,1834,3592,10454
pipe,1,256,3766,2213,3384,607958,1438721,1937378
unix,1,256,5037,3268,4495,704124,1274349,1723097
zcring,1,256,164,140,445,1590,2481,6961
pipe,1,256,3093,2219,3084,275296,1181395,1679275
unix,1,256,3984,3271,4148,102815,1501077,1995836
zcring,1,1024,263,237,527,589,5888,25374
pipe,1,1024,5014,2303,3278,943597,2142401,2640008
unix,1,1024,4936,3445,4489,646861,1455694,1947551
zcring,1,1024,278,241,531,661,36269,93640
pipe,1,1024,5003,2323,2976,925219,2423321,2920845
unix,1,1024,4271,3460,4185,276604,968886,1280943
zcring,1,1024,271,239,533,1226,17100,76210
pipe,1,1024,2981,2297,2851,98194,1416035,1620040
unix,1,1024,3964,3462,4340,82713,1173235,1667759
