transport,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
zcring,64,3325,117,386,1391737,2773314,2973098
pipe,64,94974,2255,1738587,3015706,4694924,4967145
unix,64,59762,3321,1327119,2012758,2373037,2468451
zcring,64,133,117,285,940,22852,39497
pipe,64,72247,2281,1483098,2250036,2766299,2947351
unix,64,10561,3220,74863,1423473,1889252,1987262
zcring,64,132,112,149,304,75154,175066
pipe,64,4606,2216,3445,853852,1336437,1535754
unix,64,17515,3247,574367,1467237,2140538,2337797
zcring,64,121,112,149,365,23664,94435
pipe,64,3991,2224,3288,616963,1414993,1614033
unix,64,5258,3205,4291,734923,1422548,1620095
zcring,64,131,112,147,1931,28771,76198
pipe,64,3362,2210,2974,462529,924275,1049507
unix,64,4223,3237,4312,400266,1067851,1264842
zcring,256,131,130,168,257,405,469
pipe,256,6966,2243,3993,1338930,2785614,2984403
unix,256,10948,3278,131358,1420689,2310545,2407818
zcring,256,157,131,258,1932,23075,116774
pipe,256,3774,2237,3417,589223,1034076,1233018
unix,256,5183,3294,4813,659990,1453731,1651193
zcring,256,136,130,168,304,528,97757
pipe,256,4233,2230,2894,874696,1872273,2070835
unix,256,4459,3286,4913,469072,1064080,1261581
zcring,256,144,130,173,339,17088,104920
pipe,256,5340,2231,3568,852934,1256012,1454893
unix,256,6723,3293,6452,947425,1580620,1689828
zcring,256,137,130,162,235,38884,53827
pipe,256,3083,2209,3014,357659,834284,915040
unix,256,7421,3281,4768,1143390,2829090,3025803
zcring,1024,235,232,309,451,1107,10007
pipe,1024,4663,2322,3151,745063,1221833,1404628
unix,1024,4856,3463,4374,570562,1618235,1815796
zcring,1024,249,234,327,538,32946,84275
pipe,1024,4062,2341,3388,644961,944439,1059286
unix,1024,5398,3521,4982,733696,1396580,1593626
zcring,1024,237,233,325,478,613,8671
pipe,1024,5055,2332,3610,927529,2228044,2425660
unix,1024,3593,3461,4732,35072,140873,171520
zcring,1024,239,235,331,498,575,701
pipe,1024,4653,2337,2940,859152,1906338,2105433
unix,1024,5280,3482,5449,679916,1410301,1607533
zcring,1024,241,233,320,470,23507,35122
pipe,1024,4798,2330,3337,814637,1349122,1448115
unix,1024,5390,3466,4913,665955,1468625,1665842
zcring,4096,788,789,1125,1239,1360,1398
pipe,4096,3492,2746,3267,193257,1004814,1183615
unix,4096,4494,4229,5248,91264,153495,202642
zcring,4096,878,808,1143,1273,314824,513982
pipe,4096,5097,2736,3812,957731,2240336,2437842
unix,4096,8379,4232,7347,1253584,2831839,3019769
zcring,4096,790,769,1107,1228,1343,165094
pipe,4096,8026,2751,4431,1459427,2747992,2944434
unix,4096,7155,4240,8115,790505,1396807,1593138
zcring,4096,748,691,1097,1245,1335,26462
pipe,4096,4541,2748,3605,728496,1146671,1245352
unix,4096,5271,4230,5269,251306,1072550,1268596
zcring,4096,750,689,1083,1253,9381,83390
pipe,4096,3667,2720,3733,404855,801447,804092
unix,4096,7892,4249,22301,892905,1432333,1532411
zcring,16384,3642,3605,3996,4247,4556,7461
