transport,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
zcring,64,7205,2344,3369,1151712,1348383,1351540
pipe,64,7180,2174,2910,1168935,1363672,1368198
unix,64,7766,3153,3801,1124314,1322805,1329069
zcring,256,3117,2370,2685,249696,1182631,1382466
pipe,256,3780,2204,2547,627297,1236795,1336311
unix,256,4089,3225,3597,333671,1127943,1326267
zcring,1024,3708,2466,2780,621904,1223463,1323348
pipe,1024,6138,2340,2780,1164467,1365595,1373128
unix,1024,7908,3423,4108,1159008,1357161,1362767
zcring,4096,4234,2902,3474,460010,1054903,1254258
pipe,4096,5166,2750,3100,823520,1319787,1328251
unix,4096,5638,4237,4889,539610,1140271,1238122
zcring,16384,7287,5904,6553,477709,1075091,1264685
pipe,16384,7164,5660,7310,409665,1089331,1282440
unix,16384,7012,6230,7733,309495,505882,509991
zcring,65536,15820,15295,17418,212436,528213,562530
pipe,65536,21464,17687,166082,399926,1038666,1287911
unix,65536,15663,13061,47456,1019599,1365460,1402256
zcring,262144,50351,49499,51355,93679,1051168,1051168
pipe,262144,85984,75767,279846,553279,1343537,1343537
unix,262144,35056,32328,66998,197475,1382497,1382497
zcring,1048576,189095,187971,194222,667399,667399,667399
pipe,1048576,389444,351754,569569,1806581,1806581,1806581
unix,1048576,160223,154884,199628,536339,536339,536339
