transport,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
zcring,64,229,116,692,21156,153968,228302
pipe,64,44086,2270,1189384,1872517,2604327,2802929
unix,64,30038,3312,875991,2025802,2510210,2610880
zcring,64,132,116,282,1024,7927,69216
pipe,64,68085,2245,1437143,2466166,2769061,2868034
unix,64,51445,3330,1371311,2628020,3567069,3762262
zcring,64,729,116,441,110357,1110073,1309679
pipe,64,50956,2266,1264409,2308318,2807812,3002039
unix,64,43108,3284,1163210,2399308,2896105,2994077
zcring,4096,978,958,1707,2776,8509,26630
pipe,4096,62953,2798,1453513,2530439,2946004,3142821
unix,4096,63336,4433,1278909,2186736,2716784,2912814
zcring,4096,1027,971,1667,4537,58044,65973
pipe,4096,54061,2782,1381115,2227189,2595369,2730464
unix,4096,22024,4267,669221,2281100,2773708,2969073
zcring,4096,800,759,1157,1857,61042,105634
pipe,4096,5916,2745,4158,909830,1555123,1752964
unix,4096,9317,4243,42216,1198254,2197552,2393623
zcring,1048576,184615,184202,196299,218820,218820,218820
pipe,1048576,381124,348843,667238,775187,775187,775187
unix,1048576,164550,154610,254301,436880,436880,436880
zcring,1048576,184215,183631,196829,235359,235359,235359
pipe,1048576,382833,347363,637716,1567991,1567991,1567991
unix,1048576,157623,152117,203742,323130,323130,323130
zcring,1048576,184210,183682,202462,221469,221469,221469
pipe,1048576,381212,348732,586860,766789,766789,766789
unix,1048576,159372,152600,229013,435561,435561,435561
