transport,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
zcring,64,89,90,110,131,682,9082
pipe,64,2910,2876,3238,4110,6074,49235
unix,64,3945,3899,4340,4611,26712,185531
zcring,64,90,90,110,160,181,18814
pipe,64,2922,2896,3238,3678,5833,16658
unix,64,3963,3929,4390,6345,7617,7978
zcring,64,90,90,111,160,1273,15726
pipe,64,2916,2886,3237,5542,5964,6033
unix,64,3972,3919,4470,7177,7747,8609
zcring,64,95,90,300,651,2285,13580
pipe,64,2966,2897,3197,3849,146866,345867
unix,64,3949,3929,4280,4469,7667,24193
zcring,64,89,90,101,160,170,14782
pipe,64,3061,2867,5141,5762,18941,88593
unix,64,3973,3929,4440,6644,7587,29444
zcring,256,94,90,130,161,230,8538
pipe,256,2977,2896,3177,5633,215284,311502
unix,256,4238,4048,6233,7456,11956,12757
zcring,256,93,90,120,161,642,11314
pipe,256,2929,2886,3297,5572,6253,6344
unix,256,4086,4049,4610,7276,9360,18669
zcring,256,95,90,120,161,1153,23910
pipe,256,2921,2886,3197,5612,6003,6163
unix,256,4180,4038,4530,7576,384694,582577
zcring,256,93,90,120,160,171,18830
pipe,256,2929,2906,3176,5431,5802,27807
unix,256,4075,4058,4460,7145,7856,8027
zcring,256,95,90,130,150,220,261
pipe,256,2953,2926,3217,5481,5952,16975
unix,256,4064,4048,4429,6102,7666,24350
zcring,1024,149,150,161,260,2084,23739
pipe,1024,2996,2966,3327,3477,3928,18247
unix,1024,4244,4228,4680,4940,9880,28709
zcring,1024,150,150,180,191,261,11293
pipe,1024,2992,2966,3267,3427,3557,4329
unix,1024,4270,4238,4650,5982,115333,214032
zcring,1024,163,150,321,1383,24139,44920
pipe,1024,3023,2966,3257,5772,67425,266094
unix,1024,4615,4359,7605,9880,31012,35421
zcring,1024,151,150,241,401,421,751
pipe,1024,2989,2946,3366,5531,6233,12935
unix,1024,4251,4229,4579,7425,8277,37134
zcring,1024,148,150,170,251,271,391
pipe,1024,2978,2956,3227,5461,5871,5952
unix,1024,4253,4229,4579,7185,8186,8426
zcring,4096,359,361,1343,1894,8648,18216
pipe,4096,3216,3166,3637,5752,6433,14959
unix,4096,5104,5030,5530,34929,49247,59708
zcring,4096,878,361,421,672,1217798,1417651
pipe,4096,3223,3176,3587,6022,6572,6874
unix,4096,5133,5040,5551,32523,71020,195323
zcring,4096,786,370,431,651,1075175,1274987
pipe,4096,3244,3186,3687,6082,6713,7465
unix,4096,5115,5040,5591,29999,42473,47973
zcring,4096,876,361,421,631,1215141,1414961
pipe,4096,3212,3166,3607,6022,6523,16853
unix,4096,5110,5030,5591,31502,43094,47903
zcring,4096,335,361,421,631,701,30700
pipe,4096,3223,3176,3597,5972,6633,11633
unix,4096,5123,5039,5631,33054,44437,75006
zcring,16384,903,861,1232,1503,4489,33214
pipe,16384,6108,6002,6472,45639,66058,81969
unix,16384,6780,6853,7835,10560,31521,187833
