backing,transport,rep,pages,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
4k,zcring,1,4k,1048576,194050,191846,225858,260648,755315,755315
huge,zcring,1,hugetlb,1048576,189986,188305,205483,231381,692451,692451
4k,unix,1,n/a,1048576,181871,176239,230710,375075,1523992,1523992
4k,zcring,2,4k,1048576,194083,191813,216654,274328,770217,770217
huge,zcring,2,hugetlb,1048576,190301,188365,213959,242631,684379,684379
4k,unix,2,n/a,1048576,182042,176201,235342,372255,1620762,1620762
4k,zcring,3,4k,1048576,193966,191807,226472,251847,684583,684583
huge,zcring,3,hugetlb,1048576,190371,188321,224089,256423,674727,674727
4k,unix,3,n/a,1048576,177687,172650,219791,281936,798087,798087
4k,zcring,4,4k,1048576,194203,192144,222862,254270,767762,767762
huge,zcring,4,hugetlb,1048576,190373,188415,213270,250258,771423,771423
4k,unix,4,n/a,1048576,177072,171519,218786,356947,1545505,1545505
4k,zcring,5,4k,1048576,195000,192097,228237,251531,790768,790768
huge,zcring,5,hugetlb,1048576,200240,188817,562003,873251,908496,908496
4k,unix,5,n/a,1048576,176363,170710,220759,309860,2440814,2440814
4k,zcring,6,4k,1048576,194288,191323,245058,266564,758636,758636
huge,zcring,6,hugetlb,1048576,190526,188632,208683,245993,700866,700866
4k,unix,6,n/a,1048576,176716,171630,224565,297374,756919,756919
4k,zcring,7,4k,1048576,194447,192153,223011,270091,777803,777803
huge,zcring,7,hugetlb,1048576,211629,189117,757095,883999,932011,932011
4k,unix,7,n/a,1048576,180156,174697,231194,311131,1348235,1348235
4k,zcring,8,4k,1048576,215770,193037,775693,894708,936649,936649
huge,zcring,8,hugetlb,1048576,201088,189207,605942,882871,920312,920312
4k,unix,8,n/a,1048576,177537,172380,225857,312252,801817,801817
4k,zcring,9,4k,1048576,195132,193112,225054,251876,765420,765420
huge,zcring,9,hugetlb,1048576,191195,189251,209088,236657,713636,713636
4k,unix,9,n/a,1048576,177406,171605,225352,338569,2382305,2382305
4k,zcring,10,4k,1048576,194436,192328,225475,266661,772641,772641
huge,zcring,10,hugetlb,1048576,191673,189381,222289,274181,714523,714523
4k,unix,10,n/a,1048576,178738,172960,222852,317974,1548745,1548745
